category,local_hit,away_hit,all_hit,local_srch,away_srch,all_srch,local_user,away_user,all_user,local_brws,away_brws,all_brws
image,44893,2555,47448,35,389,424,69,1161,1230,42,21,63
image,782,892,1674,0,31,31,16,279,295,2,0,2
text,43,7579,7622,78,1861,1939,32,1476,1508,14,4140,4154
text,6352,19781,26133,0,0,0,2699,9775,12474,4074,13683,17757
image,733,939,1672,18,196,214,17,354,371,16,0,16
bib,0,0,0,104,365,469,70,238,308,22,66,88
image,4,1588,1592,166,160,326,14,411,425,0,0,0
image,1344,1306,2650,0,32,32,16,559,575,26,5,31
bib,0,0,0,0,7,7,2,8,10,0,0,0
bib,0,0,0,4,12,16,3,7,10,0,0,0
bib,0,0,0,4,16,20,2,7,9,0,0,0
bib,0,0,0,5,20,25,2,7,9,0,0,0
bib,0,0,0,6,24,30,2,7,9,0,0,0
text,254,4494,4748,0,0,0,155,2918,3073,0,0,0
bib,0,0,0,0,0,0,2,6,8,0,0,0
bib,0,0,0,0,18,18,2,7,9,0,0,0
bib,0,0,0,0,21,21,2,7,9,0,0,0
bib,0,0,0,10,40,50,2,6,8,0,0,0
image,0,0,0,0,0,0,0,7,7,0,0,0
bib,0,0,0,11,44,55,3,7,10,0,0,0
text,0,5,5,0,0,0,0,4,4,0,0,0
text,2,39,41,0,0,0,1,12,13,0,0,0
text,5,2317,2322,1,3,4,2,893,895,4,386,390
text,0,0,0,0,0,0,10,57,67,0,0,0
text,0,4,4,20,3,23,17,21,38,11,15,26
text,73,9,82,56,5,61,41,25,66,28,19,47
text,6,3,9,1,6,7,6,7,13,4,1,5
image,2,0,2,13,4,17,21,12,33,21,3,24
text,0,0,0,6,0,6,9,9,18,2,2,4
text,39,6,45,33,4,37,27,17,44,12,4,16
text,6,12,18,6,0,6,3,20,23,2,6,8
text,0,0,0,0,1,1,11,6,17,0,1,1
text,0,0,0,0,1,1,4,7,11,0,4,4
