collid	category	local_hit	away_hit	all_hit	local_srch	away_srch	all_srch	local_user	away_user	all_user	local_brws	away_brws	all_brws	month_year
tdh	text	108	1241	1349	129	552	681	43	795	838	33	66	99	Apr-04
egy	image	15	369	384	0	0	0	11	215	226	5	3	8	Apr-04
rth	image	189	2097	2286	62	122	184	62	735	797	3	11	14	Apr-04
mcc	image	19	314	333	7	36	43	19	229	248	1	7	8	Apr-04
uky	image	0	88	88	0	21	21	3	64	67	0	2	2	Apr-04
tdh-bib	bib	0	0	0	0	8	8	0	8	8	0	0	0	Apr-04
etd-bib	bib	0	0	0	143	305	448	86	137	223	25	58	83	Apr-04
ual	image	0	133	133	0	9	9	4	148	152	0	1	1	Apr-04
fa	text	1	15	16	0	0	0	1	15	16	0	0	0	Apr-04
utcat	text	84	20	104	0	0	0	38	18	56	59	14	73	Apr-04
jei-bib	bib	0	0	0	0	0	0	0	7	7	0	0	0	Apr-04
uky-bib	bib	0	0	0	0	0	0	0	7	7	0	0	0	Apr-04
ldr	text	0	6	6	0	0	0	0	5	5	0	0	0	Apr-04
etd	text	274	1988	2262	0	0	0	160	1431	1591	0	0	0	Apr-04
coc	image	0	0	0	0	0	0	1	3	4	0	0	0	Apr-04
egy-bib	bib	0	0	0	0	40	40	0	7	7	0	0	0	Apr-04
ual-bib	bib	0	0	0	0	50	50	1	7	8	0	0	0	Apr-04
fa-bib	bib	0	0	0	2	58	60	1	7	8	0	0	0	Apr-04
emn	text	0	2	2	0	0	0	0	1	1	0	0	0	Apr-04
ualr	image	0	2	2	0	6	6	3	2	5	0	0	0	Apr-04
mcc-bib	bib	0	0	0	0	64	64	0	6	6	0	0	0	Apr-04
rth-bib	bib	0	0	0	0	72	72	0	8	8	0	0	0	Apr-04
mpm-bib	bib	0	0	0	0	4	4	0	7	7	0	0	0	Apr-04
jei	text	9	625	634	0	125	125	27	383	410	125	272	397	Apr-04
rth	image	44893	2555	47448	35	389	424	69	1161	1230	42	21	63	Apr-05
uky	image	782	892	1674	0	31	31	16	279	295	2	0	2	Apr-05
tdh	text	43	7579	7622	78	1861	1939	32	1476	1508	14	4140	4154	Apr-05
utcat	text	6352	19781	26133	0	0	0	2699	9775	12474	4074	13683	17757	Apr-05
mcc	image	733	939	1672	18	196	214	17	354	371	16	0	16	Apr-05
etd-bib	bib	0	0	0	104	365	469	70	238	308	22	66	88	Apr-05
egy	image	4	1588	1592	166	160	326	14	411	425	0	0	0	Apr-05
ual	image	1344	1306	2650	0	32	32	16	559	575	26	5	31	Apr-05
tdh-bib	bib	0	0	0	0	7	7	2	8	10	0	0	0	Apr-05
mcc-bib	bib	0	0	0	4	12	16	3	7	10	0	0	0	Apr-05
fa-bib	bib	0	0	0	4	16	20	2	7	9	0	0	0	Apr-05
rth-bib	bib	0	0	0	5	20	25	2	7	9	0	0	0	Apr-05
ual-bib	bib	0	0	0	6	24	30	2	7	9	0	0	0	Apr-05
etd	text	254	4494	4748	0	0	0	155	2918	3073	0	0	0	Apr-05
uky-bib	bib	0	0	0	0	0	0	2	6	8	0	0	0	Apr-05
jei-bib	bib	0	0	0	0	18	18	2	7	9	0	0	0	Apr-05
mpm-bib	bib	0	0	0	0	21	21	2	7	9	0	0	0	Apr-05
utcat-bib	bib	0	0	0	10	40	50	2	6	8	0	0	0	Apr-05
coc	image	0	0	0	0	0	0	0	7	7	0	0	0	Apr-05
egy-bib	bib	0	0	0	11	44	55	3	7	10	0	0	0	Apr-05
emn	text	0	5	5	0	0	0	0	4	4	0	0	0	Apr-05
fa	text	2	39	41	0	0	0	1	12	13	0	0	0	Apr-05
jei	text	5	2317	2322	1	3	4	2	893	895	4	386	390	Apr-05
